ttop, rate
5000, 5.300000
5040, 3.300000
5080, 4.900000
5120, 5.900000
5160, 6.300000
5200, 4.400000
5240, 4.000000
5280, 3.200000
5320, 2.500000
5360, 1.200000
5400, 1.000000
5440, 0.100000
5480, 0.200000
5520, 0.000000
5560, 0.300000
5600, 0.000000
5640, 0.100000
5680, 0.000000
5720, 0.100000
5760, 0.300000
5800, 0.100000
5840, 0.100000
5880, 0.000000
5920, 0.000000
5960, 0.000000
6000, 0.200000
6040, 0.100000
6080, 0.500000
6120, 0.800000
6160, 0.100000
6200, 0.200000
6240, 0.200000
6280, 0.000000
6320, 0.400000
6360, 0.400000
6400, 0.600000
6440, 0.500000
6480, 0.000000
6520, 0.200000
6560, 0.300000
6600, 0.800000
6640, 0.200000
6680, 0.600000
6720, 0.800000
6760, 0.800000
6800, 0.900000
6840, 0.600000
6880, 0.300000
6920, 1.100000
6960, 0.900000
7000, 1.500000
7040, 1.000000
7080, 1.000000
7120, 1.100000
7160, 1.100000
7200, 2.300000
7240, 0.800000
7280, 1.700000
7320, 1.800000
7360, 1.300000
7400, 1.900000
7440, 1.900000
7480, 2.500000
7520, 2.600000
7560, 2.200000
7600, 1.900000
7640, 2.000000
7680, 3.700000
7720, 3.800000
7760, 3.500000
7800, 3.500000
7840, 3.900000
7880, 5.600000
7920, 4.300000
7960, 5.000000
8000, 5.200000
8040, 6.100000
8080, 6.200000
8120, 5.300000
8160, 6.300000
8200, 5.400000
8240, 5.200000
8280, 6.700000
8320, 5.900000
8360, 6.300000
8400, 5.500000
8440, 8.200000
8480, 5.800000
8520, 6.300000
8560, 5.500000
8600, 6.000000
8640, 6.900000
8680, 6.300000
8720, 6.600000
8760, 7.000000
8800, 7.300000
8840, 5.500000
8880, 5.900000
8920, 5.700000
8960, 5.600000
9000, 5.100000
9040, 6.000000
