ttop, rate
5000, 0.000000
5040, 0.100000
5080, 0.300000
5120, 0.200000
5160, 0.300000
5200, 0.100000
5240, 0.100000
5280, 0.200000
5320, 0.400000
5360, 0.300000
5400, 0.200000
5440, 0.400000
5480, 0.000000
5520, 0.200000
5560, 0.400000
5600, 0.500000
5640, 0.400000
5680, 0.900000
5720, 0.300000
5760, 0.600000
5800, 0.700000
5840, 0.200000
5880, 0.400000
5920, 0.500000
5960, 0.300000
6000, 0.600000
6040, 0.800000
6080, 0.600000
6120, 0.500000
6160, 0.700000
6200, 0.600000
6240, 0.600000
6280, 0.700000
6320, 0.900000
6360, 1.000000
6400, 0.400000
6440, 0.900000
6480, 0.500000
6520, 0.400000
6560, 0.600000
6600, 0.800000
6640, 0.500000
6680, 0.300000
6720, 0.800000
6760, 0.500000
6800, 1.100000
6840, 0.500000
6880, 0.800000
6920, 0.700000
6960, 0.200000
7000, 1.200000
7040, 0.200000
7080, 0.600000
7120, 0.600000
7160, 0.500000
7200, 1.000000
7240, 0.800000
7280, 0.700000
7320, 0.900000
7360, 1.000000
7400, 0.500000
7440, 0.600000
7480, 1.300000
7520, 0.500000
7560, 0.800000
7600, 0.700000
7640, 1.200000
7680, 0.700000
7720, 0.700000
7760, 0.900000
7800, 0.900000
7840, 0.800000
7880, 0.600000
7920, 0.900000
7960, 1.300000
8000, 0.500000
8040, 1.100000
8080, 1.200000
8120, 1.100000
8160, 0.700000
8200, 14.500000
8240, 24.100000
8280, 20.400000
8320, 18.900000
8360, 23.000000
8400, 21.700000
8440, 22.700000
8480, 22.300000
8520, 23.900000
8560, 16.400000
8600, 26.000000
8640, 22.800000
8680, 22.000000
8720, 22.500000
8760, 20.500000
8800, 23.800000
8840, 25.800000
8880, 22.500000
8920, 24.400000
8960, 18.300000
9000, 17.600000
9040, 21.800000
