ttop, rate
5000, 14.000000
5040, 16.900000
5080, 14.800000
5120, 13.400000
5160, 13.800000
5200, 13.200000
5240, 12.000000
5280, 9.800000
5320, 6.600000
5360, 3.300000
5400, 2.300000
5440, 1.200000
5480, 0.800000
5520, 0.300000
5560, 0.200000
5600, 0.400000
5640, 0.300000
5680, 0.300000
5720, 0.400000
5760, 0.400000
5800, 0.400000
5840, 1.200000
5880, 0.500000
5920, 0.400000
5960, 0.400000
6000, 0.700000
6040, 1.000000
6080, 1.000000
6120, 0.900000
6160, 0.700000
6200, 0.900000
6240, 0.900000
6280, 0.900000
6320, 0.300000
6360, 0.700000
6400, 1.500000
6440, 0.300000
6480, 0.900000
6520, 0.600000
6560, 0.700000
6600, 0.800000
6640, 1.700000
6680, 2.000000
6720, 1.900000
6760, 2.200000
6800, 2.700000
6840, 1.900000
6880, 2.300000
6920, 3.400000
6960, 2.900000
7000, 4.400000
7040, 4.900000
7080, 3.500000
7120, 4.000000
7160, 4.200000
7200, 4.300000
7240, 5.500000
7280, 4.700000
7320, 4.700000
7360, 4.600000
7400, 6.700000
7440, 6.500000
7480, 6.500000
7520, 5.200000
7560, 6.400000
7600, 6.600000
7640, 6.700000
7680, 6.700000
7720, 7.900000
7760, 8.800000
7800, 9.700000
7840, 9.300000
7880, 9.100000
7920, 10.200000
7960, 11.700000
8000, 10.100000
8040, 10.700000
8080, 11.800000
8120, 11.100000
8160, 10.900000
8200, 11.300000
8240, 17.500000
8280, 17.800000
8320, 15.400000
8360, 16.600000
8400, 19.600000
8440, 16.600000
8480, 17.100000
8520, 19.500000
8560, 17.700000
8600, 18.000000
8640, 16.100000
8680, 18.300000
8720, 17.900000
8760, 16.100000
8800, 16.800000
8840, 16.200000
8880, 14.400000
8920, 15.300000
8960, 17.600000
9000, 18.300000
9040, 20.400000
