ttop, rate
5000, 0.000000
5040, 0.100000
5080, 0.300000
5120, 0.100000
5160, 0.100000
5200, 0.300000
5240, 0.200000
5280, 0.300000
5320, 0.400000
5360, 0.100000
5400, 0.400000
5440, 0.400000
5480, 0.200000
5520, 0.300000
5560, 0.400000
5600, 0.700000
5640, 0.500000
5680, 1.000000
5720, 0.600000
5760, 0.700000
5800, 0.600000
5840, 0.800000
5880, 0.600000
5920, 0.800000
5960, 0.800000
6000, 0.500000
6040, 0.400000
6080, 0.400000
6120, 0.700000
6160, 0.300000
6200, 0.900000
6240, 1.200000
6280, 0.800000
6320, 0.600000
6360, 0.800000
6400, 0.700000
6440, 0.700000
6480, 0.600000
6520, 0.500000
6560, 1.400000
6600, 0.800000
6640, 0.900000
6680, 0.600000
6720, 1.500000
6760, 1.400000
6800, 0.900000
6840, 1.900000
6880, 1.200000
6920, 1.000000
6960, 0.800000
7000, 1.000000
7040, 1.600000
7080, 1.300000
7120, 1.500000
7160, 1.200000
7200, 1.100000
7240, 1.500000
7280, 1.300000
7320, 2.200000
7360, 1.400000
7400, 1.300000
7440, 1.200000
7480, 1.600000
7520, 1.400000
7560, 1.700000
7600, 1.500000
7640, 1.300000
7680, 1.800000
7720, 1.300000
7760, 1.700000
7800, 1.500000
7840, 0.900000
7880, 1.200000
7920, 2.500000
7960, 1.400000
8000, 1.400000
8040, 1.500000
8080, 2.000000
8120, 1.600000
8160, 1.800000
8200, 17.300000
8240, 24.100000
8280, 20.600000
8320, 24.600000
8360, 20.700000
8400, 23.800000
8440, 19.400000
8480, 21.900000
8520, 22.400000
8560, 19.000000
8600, 17.900000
8640, 25.700000
8680, 21.600000
8720, 19.400000
8760, 24.200000
8800, 22.500000
8840, 22.000000
8880, 20.000000
8920, 25.600000
8960, 21.000000
9000, 23.800000
9040, 24.400000
