ttop, rate
5000, 0.000000
5040, 0.000000
5080, 0.000000
5120, 0.300000
5160, 0.100000
5200, 0.200000
5240, 0.100000
5280, 0.500000
5320, 0.100000
5360, 0.200000
5400, 0.200000
5440, 0.100000
5480, 0.300000
5520, 0.600000
5560, 0.500000
5600, 0.600000
5640, 0.500000
5680, 0.600000
5720, 0.500000
5760, 0.300000
5800, 0.900000
5840, 1.100000
5880, 0.400000
5920, 0.500000
5960, 0.600000
6000, 0.700000
6040, 0.600000
6080, 0.700000
6120, 0.500000
6160, 1.000000
6200, 0.400000
6240, 0.300000
6280, 0.600000
6320, 0.600000
6360, 0.400000
6400, 1.300000
6440, 0.600000
6480, 1.100000
6520, 0.900000
6560, 1.600000
6600, 0.900000
6640, 1.400000
6680, 0.200000
6720, 0.900000
6760, 1.500000
6800, 0.700000
6840, 1.100000
6880, 0.400000
6920, 1.000000
6960, 1.000000
7000, 1.100000
7040, 0.700000
7080, 0.800000
7120, 0.500000
7160, 0.800000
7200, 1.300000
7240, 0.900000
7280, 0.700000
7320, 1.100000
7360, 1.300000
7400, 0.900000
7440, 1.300000
7480, 1.500000
7520, 0.800000
7560, 0.900000
7600, 1.100000
7640, 1.300000
7680, 1.500000
7720, 1.300000
7760, 1.200000
7800, 1.700000
7840, 1.300000
7880, 0.800000
7920, 1.300000
7960, 1.100000
8000, 1.200000
8040, 1.100000
8080, 1.100000
8120, 1.400000
8160, 1.100000
8200, 11.200000
8240, 21.100000
8280, 24.700000
8320, 17.100000
8360, 18.500000
8400, 19.100000
8440, 22.300000
8480, 21.700000
8520, 23.000000
8560, 18.300000
8600, 21.900000
8640, 21.000000
8680, 19.700000
8720, 20.200000
8760, 24.000000
8800, 22.800000
8840, 19.000000
8880, 20.800000
8920, 18.300000
8960, 19.600000
9000, 20.500000
9040, 21.800000
