treshold, rate
0, 749.700000
80, 1825.300000
160, 1499.700000
240, 1285.600000
320, 1043.500000
400, 895.700000
480, 744.200000
560, 640.000000
640, 547.200000
720, 507.800000
800, 462.900000
880, 400.100000
960, 364.600000
1040, 335.800000
1120, 302.800000
1200, 286.600000
1280, 264.200000
1360, 239.500000
1440, 220.300000
1520, 204.900000
1600, 189.200000
1680, 173.100000
1760, 166.200000
1840, 141.200000
1920, 144.400000
2000, 130.600000
2080, 109.600000
2160, 104.100000
2240, 90.800000
2320, 78.500000
2400, 72.000000
2480, 68.800000
2560, 65.200000
2640, 67.000000
2720, 59.500000
2800, 56.900000
2880, 48.100000
2960, 41.100000
3040, 36.700000
3120, 42.300000
3200, 39.700000
3280, 38.100000
3360, 33.700000
3440, 30.200000
3520, 29.700000
3600, 26.200000
3680, 28.500000
3760, 25.300000
3840, 24.400000
3920, 23.700000
4000, 24.900000
4080, 23.200000
4160, 23.000000
4240, 21.400000
4320, 21.800000
4400, 20.500000
4480, 21.900000
4560, 20.400000
4640, 19.900000
4720, 19.500000
4800, 18.000000
4880, 20.300000
4960, 16.700000
5040, 17.500000
5120, 21.800000
5200, 19.000000
5280, 18.500000
5360, 19.500000
5440, 20.600000
5520, 17.600000
5600, 18.500000
5680, 16.400000
5760, 16.400000
5840, 17.200000
5920, 16.000000
6000, 19.700000
6080, 14.500000
6160, 16.000000
6240, 14.400000
6320, 16.200000
6400, 12.300000
6480, 15.400000
6560, 19.400000
6640, 15.100000
6720, 18.200000
6800, 16.700000
6880, 14.000000
6960, 15.100000
7040, 14.200000
7120, 17.800000
7200, 15.100000
7280, 15.300000
7360, 15.100000
7440, 12.800000
7520, 14.300000
7600, 12.700000
7680, 14.400000
7760, 16.900000
7840, 14.800000
7920, 11.400000
8000, 14.900000
8080, 15.200000
