ttop, rate
5000, 8.900000
5004, 14.500000
5008, 8.500000
5012, 12.700000
5016, 12.500000
5020, 12.200000
5024, 9.100000
5028, 13.500000
5032, 10.400000
5036, 9.200000
5040, 8.800000
5044, 9.200000
5048, 9.000000
5052, 7.400000
5056, 11.100000
5060, 7.900000
5064, 7.800000
5068, 12.000000
5072, 9.900000
5076, 9.000000
5080, 13.000000
5084, 12.000000
5088, 11.900000
5092, 9.300000
5096, 11.100000
5100, 12.800000
5104, 7.900000
5108, 11.600000
5112, 11.200000
5116, 9.200000
5120, 10.300000
5124, 10.800000
5128, 11.600000
5132, 9.500000
5136, 11.000000
5140, 10.100000
5144, 13.700000
5148, 8.900000
5152, 9.300000
5156, 10.600000
5160, 12.500000
5164, 10.400000
5168, 10.300000
5172, 10.200000
5176, 9.200000
5180, 9.200000
5184, 10.900000
5188, 7.600000
5192, 9.400000
5196, 10.000000
5200, 8.700000
5204, 11.200000
5208, 6.400000
5212, 8.800000
5216, 7.400000
5220, 11.500000
5224, 6.800000
5228, 9.100000
5232, 7.700000
5236, 6.800000
5240, 7.600000
5244, 6.300000
5248, 6.300000
5252, 6.500000
5256, 6.500000
5260, 6.200000
5264, 3.700000
5268, 6.200000
5272, 4.400000
5276, 5.100000
5280, 6.300000
5284, 4.600000
5288, 4.300000
5292, 5.100000
5296, 5.000000
5300, 4.600000
5304, 4.300000
5308, 4.500000
5312, 3.700000
5316, 3.900000
5320, 5.400000
5324, 3.800000
5328, 3.400000
5332, 4.800000
5336, 3.100000
5340, 2.900000
5344, 3.700000
5348, 2.400000
5352, 1.700000
5356, 2.700000
5360, 2.600000
5364, 3.200000
5368, 3.000000
5372, 2.100000
5376, 1.900000
5380, 2.300000
5384, 0.900000
5388, 2.100000
5392, 1.500000
5396, 1.700000
5400, 1.500000
5404, 2.500000
5408, 1.300000
5412, 1.800000
5416, 1.300000
5420, 1.300000
5424, 1.100000
5428, 0.600000
5432, 0.700000
5436, 0.600000
5440, 1.200000
5444, 0.200000
5448, 0.800000
5452, 0.700000
5456, 0.700000
5460, 0.800000
5464, 0.900000
5468, 0.500000
5472, 0.700000
5476, 0.600000
5480, 0.600000
5484, 0.400000
5488, 0.100000
5492, 0.300000
5496, 0.200000
5500, 0.600000
5504, 0.700000
5508, 0.400000
5512, 0.100000
5516, 0.400000
5520, 0.100000
5524, 0.500000
5528, 0.000000
5532, 0.200000
5536, 0.300000
5540, 0.300000
5544, 0.700000
5548, 0.500000
5552, 0.200000
5556, 0.600000
5560, 0.200000
5564, 0.200000
5568, 0.400000
5572, 0.500000
5576, 0.200000
5580, 0.300000
5584, 0.400000
5588, 0.200000
5592, 0.200000
5596, 0.300000
5600, 0.500000
5604, 0.100000
5608, 0.200000
5612, 0.100000
5616, 0.700000
5620, 0.700000
5624, 0.200000
5628, 0.100000
5632, 0.600000
5636, 0.700000
5640, 0.700000
5644, 0.800000
5648, 0.800000
5652, 0.700000
5656, 0.800000
5660, 0.200000
5664, 0.400000
5668, 0.300000
5672, 0.400000
5676, 0.400000
5680, 0.200000
5684, 0.300000
5688, 0.200000
5692, 0.200000
5696, 0.500000
5700, 0.200000
5704, 0.600000
5708, 0.100000
5712, 0.400000
5716, 0.400000
5720, 0.600000
5724, 0.300000
5728, 1.000000
5732, 0.400000
5736, 0.400000
5740, 0.400000
5744, 0.400000
5748, 0.300000
5752, 0.200000
5756, 0.600000
5760, 0.500000
5764, 0.100000
5768, 0.700000
5772, 0.600000
5776, 0.500000
5780, 0.600000
5784, 0.200000
5788, 0.900000
5792, 0.500000
5796, 0.400000
5800, 0.900000
5804, 0.400000
5808, 0.300000
5812, 0.700000
5816, 0.500000
5820, 0.300000
5824, 0.900000
5828, 0.700000
5832, 0.300000
5836, 0.300000
5840, 0.400000
5844, 0.700000
5848, 0.600000
5852, 1.100000
5856, 0.200000
5860, 0.400000
5864, 0.400000
5868, 0.500000
5872, 0.300000
5876, 0.300000
5880, 0.600000
5884, 0.500000
5888, 0.800000
5892, 0.500000
5896, 0.500000
5900, 0.300000
5904, 0.500000
5908, 0.600000
5912, 0.700000
5916, 0.300000
5920, 0.600000
5924, 0.800000
5928, 0.600000
5932, 0.900000
5936, 0.400000
5940, 0.700000
5944, 0.600000
5948, 1.000000
5952, 0.600000
5956, 0.500000
5960, 0.900000
5964, 0.500000
5968, 0.400000
5972, 1.000000
5976, 0.900000
5980, 1.000000
5984, 0.800000
5988, 1.000000
5992, 0.800000
5996, 0.700000
6000, 0.300000
6004, 0.500000
6008, 0.700000
6012, 0.400000
6016, 0.400000
6020, 0.800000
6024, 0.800000
6028, 1.400000
6032, 0.800000
6036, 0.900000
6040, 1.200000
6044, 0.900000
6048, 0.500000
6052, 1.500000
6056, 0.400000
6060, 0.700000
6064, 0.600000
6068, 1.000000
6072, 0.900000
6076, 0.700000
6080, 1.100000
6084, 0.900000
6088, 0.600000
6092, 1.200000
6096, 0.800000
6100, 1.300000
6104, 1.100000
6108, 0.800000
6112, 1.000000
6116, 0.900000
6120, 1.600000
6124, 0.900000
6128, 0.800000
6132, 0.700000
6136, 1.000000
6140, 0.900000
6144, 0.700000
6148, 1.400000
6152, 0.500000
6156, 0.800000
6160, 1.300000
6164, 1.000000
6168, 0.400000
6172, 1.700000
6176, 1.600000
6180, 1.000000
6184, 1.000000
6188, 0.800000
6192, 1.200000
6196, 1.000000
6200, 0.700000
6204, 1.200000
6208, 1.000000
6212, 1.700000
6216, 0.500000
6220, 1.600000
6224, 1.200000
6228, 1.600000
6232, 1.200000
6236, 1.500000
6240, 1.300000
6244, 0.900000
6248, 1.000000
6252, 1.300000
6256, 1.300000
6260, 1.000000
6264, 1.100000
6268, 1.400000
6272, 1.000000
6276, 0.700000
6280, 1.600000
6284, 0.900000
6288, 1.100000
6292, 0.800000
6296, 1.400000
6300, 1.700000
6304, 1.100000
6308, 1.500000
6312, 0.900000
6316, 1.700000
6320, 0.900000
6324, 1.700000
