top, rate
1785, 0.000000
1865, 18.900000
1945, 88.700000
2025, 152.100000
2105, 223.600000
2185, 287.200000
2265, 333.400000
2345, 390.300000
2425, 413.400000
2505, 445.400000
2585, 448.800000
2665, 467.600000
2745, 479.900000
2825, 490.400000
2905, 509.200000
2985, 512.300000
3065, 529.100000
3145, 537.000000
3225, 540.200000
3305, 542.500000
3385, 549.300000
3465, 549.700000
3545, 566.800000
3625, 557.400000
3705, 570.100000
3785, 573.000000
3865, 585.700000
3945, 591.100000
4025, 599.900000
4105, 577.800000
4185, 584.200000
4265, 587.500000
4345, 591.900000
4425, 606.600000
4505, 602.200000
4585, 591.700000
4665, 596.300000
4745, 600.600000
4825, 609.300000
4905, 605.000000
4985, 608.900000
5065, 591.700000
5145, 593.100000
5225, 585.500000
5305, 608.900000
5385, 607.400000
5465, 610.300000
5545, 611.900000
5625, 596.900000
5705, 610.400000
5785, 596.600000
5865, 601.100000
5945, 596.300000
6025, 602.100000
6105, 609.900000
6185, 592.700000
6265, 604.700000
6345, 605.500000
6425, 609.200000
6505, 610.800000
6585, 604.200000
6665, 610.600000
6745, 612.100000
6825, 597.200000
6905, 605.600000
6985, 594.900000
7065, 618.700000
7145, 611.400000
7225, 593.500000
7305, 611.100000
7385, 608.800000
7465, 612.600000
7545, 600.400000
7625, 600.600000
7705, 613.400000
7785, 616.200000
7865, 613.100000
7945, 604.500000
8025, 614.000000
8105, 610.200000
8185, 618.400000
8265, 616.400000
8345, 608.300000
8425, 613.000000
8505, 600.900000
8585, 607.000000
8665, 603.400000
8745, 613.200000
8825, 605.800000
8905, 613.300000
8985, 611.800000
9065, 621.700000
9145, 600.800000
9225, 609.400000
9305, 613.000000
9385, 607.000000
9465, 624.800000
9545, 595.200000
9625, 615.200000
9705, 604.600000
9785, 600.900000
9865, 621.800000
9945, 606.700000
10025, 603.400000
10105, 615.800000
10185, 606.500000
10265, 609.900000
10345, 612.600000
10425, 608.100000
10505, 624.900000
10585, 612.800000
10665, 602.700000
10745, 623.100000
10825, 602.700000
10905, 609.500000
10985, 614.700000
11065, 609.800000
11145, 622.000000
11225, 620.200000
11305, 619.500000
11385, 626.800000
11465, 603.800000
11545, 597.900000
11625, 619.100000
11705, 621.500000
11785, 609.900000
11865, 621.200000
11945, 603.700000
12025, 608.400000
12105, 612.300000
12185, 599.200000
12265, 612.000000
12345, 611.400000
12425, 610.900000
12505, 623.700000
12585, 618.000000
12665, 616.200000
12745, 608.400000
12825, 601.100000
12905, 616.500000
12985, 611.800000
13065, 611.700000
13145, 621.400000
13225, 610.600000
13305, 609.400000
13385, 620.900000
13465, 625.300000
13545, 619.200000
13625, 622.200000
13705, 615.900000
13785, 605.100000
13865, 610.600000
13945, 620.400000
14025, 602.200000
14105, 612.900000
14185, 612.000000
14265, 613.800000
14345, 628.700000
14425, 595.000000
14505, 613.300000
14585, 620.000000
14665, 611.000000
14745, 620.700000
14825, 607.000000
14905, 608.000000
14985, 613.900000
15065, 611.600000
15145, 624.100000
15225, 623.300000
15305, 606.800000
15385, 608.600000
15465, 599.500000
15545, 610.200000
15625, 618.400000
15705, 618.200000
15785, 617.700000
15865, 620.500000
15945, 614.000000
16025, 607.100000
16105, 625.400000
16185, 617.400000
16265, 697.000000
16345, 684.200000
16425, 668.300000
16505, 689.500000
16585, 671.200000
16665, 681.100000
16745, 686.100000
16825, 668.600000
16905, 683.000000
16985, 679.500000
17065, 675.300000
17145, 681.600000
17225, 676.700000
17305, 682.800000
17385, 680.400000
17465, 670.900000
17545, 673.800000
17625, 681.600000
17705, 666.000000
