top, rate
1785, 8.300000
1825, 33.400000
1865, 72.800000
1905, 107.600000
1945, 139.700000
1985, 175.400000
2025, 210.000000
2065, 242.000000
2105, 281.800000
2145, 309.700000
2185, 338.300000
2225, 366.800000
2265, 384.900000
2305, 404.300000
2345, 420.700000
2385, 440.700000
2425, 455.400000
2465, 465.800000
2505, 475.700000
2545, 478.600000
2585, 494.600000
2625, 492.100000
2665, 488.900000
2705, 506.300000
2745, 516.000000
2785, 530.900000
2825, 523.500000
2865, 510.400000
2905, 538.500000
2945, 519.500000
2985, 531.200000
3025, 540.700000
3065, 552.400000
3105, 537.200000
3145, 564.300000
3185, 554.200000
3225, 561.000000
3265, 548.100000
3305, 554.000000
3345, 574.900000
3385, 561.100000
3425, 558.300000
3465, 592.500000
3505, 569.600000
3545, 575.400000
3585, 581.500000
3625, 593.300000
3665, 591.900000
3705, 592.300000
3745, 592.900000
3785, 601.400000
3825, 597.300000
3865, 598.800000
3905, 612.300000
3945, 611.300000
3985, 608.000000
4025, 624.200000
4065, 601.900000
4105, 611.600000
4145, 616.700000
4185, 618.600000
4225, 606.000000
4265, 601.100000
4305, 612.100000
4345, 609.100000
4385, 613.900000
4425, 616.800000
4465, 615.200000
4505, 618.800000
4545, 611.200000
4585, 617.100000
4625, 622.500000
4665, 617.800000
4705, 610.900000
4745, 603.900000
4785, 623.700000
4825, 632.800000
4865, 628.100000
4905, 603.200000
4945, 608.800000
4985, 624.600000
5025, 604.500000
5065, 614.300000
5105, 616.800000
5145, 613.300000
5185, 613.100000
5225, 610.300000
5265, 623.800000
5305, 609.400000
5345, 607.800000
5385, 608.000000
5425, 620.600000
5465, 618.500000
5505, 627.300000
5545, 617.600000
5585, 617.600000
5625, 618.600000
5665, 625.900000
5705, 611.300000
5745, 611.800000
5785, 611.500000
5825, 632.600000
