treshold, rate
0, 362.100000
80, 1839.700000
160, 1546.200000
240, 1340.800000
320, 1106.300000
400, 926.800000
480, 784.200000
560, 671.000000
640, 574.200000
720, 529.900000
800, 460.700000
880, 428.400000
960, 376.500000
1040, 351.100000
1120, 312.900000
1200, 302.400000
1280, 271.200000
1360, 256.500000
1440, 237.700000
1520, 215.000000
1600, 201.400000
1680, 185.900000
1760, 172.700000
1840, 165.300000
1920, 144.900000
2000, 132.200000
2080, 127.500000
2160, 108.000000
2240, 89.600000
2320, 88.300000
2400, 78.900000
2480, 75.100000
2560, 72.000000
2640, 70.600000
2720, 62.200000
2800, 62.800000
2880, 56.300000
2960, 47.200000
3040, 43.100000
3120, 40.500000
3200, 36.600000
3280, 34.100000
3360, 32.200000
3440, 33.600000
3520, 29.100000
3600, 27.400000
3680, 25.300000
3760, 24.300000
3840, 25.500000
3920, 23.700000
4000, 24.100000
4080, 24.000000
4160, 25.200000
4240, 20.000000
4320, 19.500000
4400, 28.000000
4480, 22.600000
4560, 19.200000
4640, 21.400000
4720, 18.900000
4800, 20.100000
4880, 20.300000
4960, 20.200000
5040, 17.300000
5120, 15.600000
5200, 19.400000
5280, 16.300000
5360, 18.200000
5440, 18.000000
5520, 17.700000
5600, 20.200000
5680, 16.400000
5760, 19.100000
5840, 19.900000
5920, 15.400000
6000, 18.400000
6080, 20.200000
6160, 13.800000
6240, 17.500000
6320, 15.200000
6400, 17.200000
6480, 16.400000
6560, 19.100000
6640, 17.500000
6720, 16.500000
6800, 17.600000
6880, 18.700000
6960, 17.700000
7040, 17.000000
7120, 16.300000
7200, 16.100000
7280, 19.300000
7360, 16.400000
7440, 17.500000
7520, 17.300000
7600, 13.900000
7680, 15.000000
7760, 14.300000
7840, 18.100000
7920, 14.700000
8000, 15.600000
8080, 18.500000
