ttop, rate
5000, 103.400000
5004, 110.800000
5008, 105.900000
5012, 116.900000
5016, 115.600000
5020, 113.200000
5024, 117.700000
5028, 116.200000
5032, 107.900000
5036, 117.400000
5040, 117.300000
5044, 107.600000
5048, 103.900000
5052, 115.100000
5056, 101.100000
5060, 107.800000
5064, 108.900000
5068, 99.100000
5072, 106.300000
5076, 102.400000
5080, 107.900000
5084, 113.700000
5088, 114.500000
5092, 102.000000
5096, 111.300000
5100, 103.800000
5104, 98.200000
5108, 105.100000
5112, 107.700000
5116, 114.100000
5120, 114.500000
5124, 109.100000
5128, 99.800000
5132, 96.000000
5136, 95.700000
5140, 98.500000
5144, 106.100000
5148, 100.200000
5152, 98.200000
5156, 107.200000
5160, 99.800000
5164, 93.400000
5168, 96.100000
5172, 97.200000
5176, 95.500000
5180, 93.800000
5184, 94.900000
5188, 96.400000
5192, 89.200000
5196, 82.800000
5200, 93.800000
5204, 83.800000
5208, 83.300000
5212, 83.100000
5216, 87.600000
5220, 82.100000
5224, 68.100000
5228, 72.600000
5232, 75.200000
5236, 74.900000
5240, 80.500000
5244, 67.800000
5248, 60.900000
5252, 63.300000
5256, 59.900000
5260, 63.000000
5264, 59.800000
5268, 59.100000
5272, 56.700000
5276, 59.800000
5280, 50.600000
5284, 50.400000
5288, 50.600000
5292, 49.400000
5296, 46.900000
5300, 38.700000
5304, 47.300000
5308, 44.100000
5312, 37.200000
5316, 42.500000
5320, 41.800000
5324, 37.000000
5328, 32.300000
5332, 32.400000
5336, 32.600000
5340, 32.500000
5344, 33.600000
5348, 30.200000
5352, 27.700000
5356, 28.900000
5360, 25.000000
5364, 21.700000
5368, 23.800000
5372, 20.500000
5376, 19.900000
5380, 22.100000
5384, 24.800000
5388, 19.800000
5392, 19.300000
5396, 13.800000
5400, 19.500000
5404, 16.800000
5408, 15.000000
5412, 14.900000
5416, 13.800000
5420, 12.100000
5424, 11.800000
5428, 10.500000
5432, 10.100000
5436, 9.600000
5440, 8.500000
5444, 9.500000
5448, 9.600000
5452, 8.300000
5456, 9.100000
5460, 7.000000
5464, 7.400000
5468, 7.000000
5472, 4.700000
5476, 5.600000
5480, 5.800000
5484, 5.500000
5488, 5.600000
5492, 5.500000
5496, 5.100000
5500, 4.300000
5504, 4.200000
5508, 3.500000
5512, 3.900000
5516, 3.900000
5520, 4.700000
5524, 4.100000
5528, 5.300000
5532, 3.700000
5536, 3.300000
5540, 2.700000
5544, 4.400000
5548, 4.200000
5552, 3.700000
5556, 3.600000
5560, 4.000000
5564, 4.000000
5568, 4.400000
5572, 3.100000
5576, 3.800000
5580, 4.300000
5584, 3.800000
5588, 4.200000
5592, 4.100000
5596, 3.700000
5600, 3.400000
5604, 3.200000
5608, 2.900000
5612, 4.500000
5616, 2.900000
5620, 3.900000
5624, 3.700000
5628, 3.600000
5632, 3.900000
5636, 3.200000
5640, 4.000000
5644, 3.800000
5648, 4.300000
5652, 4.100000
5656, 3.300000
5660, 4.200000
5664, 4.000000
5668, 3.500000
5672, 3.900000
5676, 5.400000
5680, 4.700000
5684, 4.100000
5688, 4.500000
5692, 4.600000
5696, 4.700000
5700, 3.500000
5704, 4.100000
5708, 4.000000
5712, 4.700000
5716, 4.200000
5720, 4.600000
5724, 4.400000
5728, 4.900000
5732, 4.100000
5736, 5.100000
5740, 3.800000
5744, 3.900000
5748, 5.300000
