ttop, rate
5000,81
5004,0
5008,5
5012,2
5016,13
5020,20
5024,23
5028,14
5032,25
5036,20
5040,22
5044,28
5048,36
5052,36
5056,27
5060,61
5064,48
5068,39
5072,44
5076,45
5080,53
5084,70
5088,57
5092,63
5096,69
5100,77
5104,77
5108,72
5112,70
5116,85
5120,43
5124,86
5128,80
5132,102
5136,90
5140,91
5144,74
5148,106
5152,123
5156,107
5160,136
5164,102
5168,98
5172,114
5176,131
5180,95
5184,137
5188,124
5192,143
5196,130
5200,115
5204,104
5208,154
5212,134
5216,92
5220,171
5224,124
5228,116
5232,156
5236,134
5240,132
5244,98
5248,137
5252,164
5256,131
5260,145
5264,153
5268,151
5272,159
5276,147
5280,204
5284,113
5288,137
5292,144
5296,139
5300,135
5304,208
5308,138
5312,173
5316,174
5320,169
5324,130
5328,132
5332,165
5336,185
5340,163
5344,174
5348,144
5352,211
5356,227
5360,169
5364,148
5368,170
5372,163
5376,187
5380,166
5384,164
5388,172
5392,191
5396,216
5400,186
5404,180
5408,153
5412,134
5416,214
5420,196
5424,156
5428,195
5432,208
5436,238
5440,216
5444,139
5448,207
5452,228
5456,149
5460,164
5464,189
5468,300
5472,175
5476,168
5480,212
5484,225
5488,215
5492,153
5496,150
5500,181
5504,179
5508,255
5512,264
5516,154
5520,216
5524,192
5528,240
5532,205
5536,203
5540,210
5544,211
5548,152
5552,210
5556,149
5560,213
5564,184
5568,176
5572,225
5576,179
5580,244
5584,145
5588,214
5592,184
5596,226
5600,187
5604,217
5608,152
5612,214
5616,192
5620,184
5624,212
5628,215
5632,202
5636,149
5640,196
5644,240
5648,196
5652,159
5656,214
5660,213
5664,225
5668,173
5672,185
5676,219
5680,206
5684,224
5688,184
5692,186
5696,210
5700,214
5704,195
5708,237
5712,183
5716,191
5720,182
5724,165
5728,189
5732,196
5736,186
5740,184
5744,204
5748,238
5752,196
5756,195
5760,210
5764,161
5768,206
5772,226
5776,192
5780,190
5784,220
5788,187
5792,119
5796,171
5800,181
5804,210
5808,170
5812,166
5816,201
5820,200
5824,163
5828,248
5832,199
5836,155
5840,215
5844,192
5848,190
5852,204
5856,243
5860,229
5864,205
5868,209
5872,246
5876,209
5880,218
5884,158
5888,199
5892,227
5896,206
5900,219
5904,222
5908,143
5912,167
5916,231
5920,133
5924,200
5928,168
5932,202
5936,181
5940,181
5944,166
5948,195
5952,192
5956,165
5960,220
5964,249
5968,209
5972,140
5976,209
5980,115
5984,213
5988,232
5992,177
5996,225
6000,193
6004,148
6008,195
6012,228
6016,231
6020,243
6024,227
6028,250
6032,177
6036,178
6040,215
6044,193
6048,167
6052,196
6056,199
6060,152
6064,226
6068,181
